pembersihan,pemotongan,pengemasan,care
0.0,0.0,0.0,0.0
10.15911111111111,12.12811111111111,10.786111111111111,1035.962111111111
20.96322222222222,20.49722222222222,22.65822222222222,2203.594222222222
30.64133333333333,34.682333333333325,32.246333333333325,3488.368333333333
44.45344444444444,43.23844444444444,48.82044444444444,4855.531444444445
53.07355555555556,60.772555555555556,60.845555555555556,6067.497555555556
68.99966666666666,71.73666666666665,71.95666666666666,6565.631666666666
83.38077777777777,73.12377777777778,80.68877777777777,8181.471777777778
97.00688888888888,97.64788888888889,90.23288888888888,8920.77688888889
109.881,108.451,103.964,10451.513
