penuaian,penyiraman,penyiangan,harvest
0.0,0.0,0.0,0.0
10.623111111111111,116.82011111111112,10.72311111111111,0.5725555555555556
21.15122222222222,215.23122222222224,22.26822222222222,1.2201111111111111
34.337333333333326,342.77333333333337,31.591333333333328,1.6086666666666667
41.038444444444444,458.49544444444444,44.62544444444444,2.3312222222222223
51.565555555555555,567.1505555555556,58.855555555555554,2.6387777777777774
65.03966666666666,704.9496666666668,64.45066666666666,3.3193333333333337
74.62777777777777,725.8137777777779,80.95577777777777,4.148888888888889
96.10888888888888,907.3028888888889,93.07888888888888,4.380444444444445
102.864,965.816,106.017,5.15
